YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
3646,BCIC,BC IGNITION COIL ST43CC RAJAGRO ,6
3647,BCIR,BC INNER ROD ,6
3648,BCLH,BC LEFT HANDLE ,23
3649,BCLH,BC LEFT HANDLE ,6
3650,BCPS,BC PLUG CAP WITH SPRING ,26
3651,BCSA,STARTER ASSY BRUSH CUTTER RAJAGRO ,41
3652,BCSA,STARTER ASSY BRUSH CUTTER RAJAGRO ,41
3653,BCSO,BC OIL SEAL SAMLL ,6
3654,BCSP,BC SILENCER PACKING ,12
3655,BCSS,SWITCH BATTERY CHAINSAW 4 INCH ,9
3656,BCST ,BC ST ASSY STEEL RAJ AGRO ,41
3657,BCST ,BC ST ASSY STEEL RAJ AGRO ,41
3658,BCSTA,BC ST ASSY EASY 12 RAJAGRO ,46
3659,BCSTA,BC ST ASSY EASY 12 RAJAGRO ,6
3660,BCSTA/1,BC ST ASSY EASY 12 RAJAGRO ,52
3661,BCTS,BC TANK STAND ,1
3662,BCTS9T,BC TRANSIT SHAFT 9T 12%,4
3663,BCW125,CUP WHEEL SEGMENT 5 INCH ,-1.000
3664,BCW125,CUP WHEEL SEGMENT 5 INCH ,39
3665,BCW180,CUP WHEEL SEGMENT 7 INCH ,9
3666,BCWHS/1,HOSE SLEEVE ,-456.000
3667,BD100445518,B&D PRESSURE WASHER SWICH KIT 1004455-18,2
3668,BD1004455-91,PRESSURE WASHER SERVICE KIT1004455-91,2
3669,BD40K,BLACK AND DECKER LI IRON SCREW DRIVER,1
3670,BD411007-1,PLUNGER411007-1,3
3671,BD411007-2,SPRING 411007-2,3
3672,BD65RD,BLACK&DECKER BD65RD 6MM DRILLR/F,6
3673,BD81588,BLACK AND DECKER COMBINATION PLIER,2
3674,BD81593,BLACK AND ECKER HEXKEY SET 8PIC BDHT8159,136
3675,BD81593,BLACK AND ECKER HEXKEY SET 8PIC BDHT8159,-30.000
3676,BDC10M,BULL DRILL CHUCK  10MM,148
3677,BDCLAMB,MS SHEET CUTTING C-WH{BATHROOM CLAMP},0.835
3678,BDH11GC,BULL 11E GREASE CAP,10
3679,BDH11HIB,BULL GOLD DH-11H INSERT BLOCK ,2
3680,BDH11HSL,BULL GOLD DH11H SWITCH LOCK ,2
3681,BDHT570,BLACK AND DECKER SILICON GUN BDHT81570,1
3682,BDL/2,BULLET LOCK 8*11  DAMU,9
3683,BDL2,BULLET LOCK 2.1/4,8
3684,BDPM1/1,"1/2""  TABLE BRACKET (BUNCH DRILL BASE )",1
3685,BDU10,BULL CARBON BRUSH DU-10 DRILL,70
3686,BEARING 6000 S/S,BEARING 6000 S/S,1
3687,BEARING 6001 S/S,BEARING 6001 S/S,2
3688,BEARING 607,BEARING 607,1
3689,BEARING 607,BEARING 607,3
3690,BEARING 608,BEARING 608,2
3691,BEC4B,LEFT BOLT BULL EC4,88
3692,BEC4B,LEFT BOLT BULL EC4,-446.000
3693,BENDB,BEND BLUE 1 1/4 INCH SUBMERSIBLE ,1
3694,BFD,"BULL DISK PAPPER 60 ,80,100,120",302
3695,BFD,"BULL DISK PAPPER 60 ,80,100,120",225
3696,BFD,"BULL DISK PAPPER 60 ,80,100,120",1260
3697,BFMC,BLADE FOR MARBLE CUTTING ,1
3698,BFT2,BC FUEL TANK 2 STROCK ,8
3699,BG0810,BULL CARBON 0810,-74.000
3700,BG110,GB GRANITE SEG 110 ORANGE,12
3701,BG14B,BULL GOLD 14V BATTERY,1
3702,BG20B,BULL GOLD 20V BATTERY,2
3703,BG500,GREESE 500GM BULL,5
3704,BG8213,DAMIER BENCH GRINDER 8 INCH BG8213,2
3705,BG83502,INGCO BENCH GRINDER ,1
3706,BGAC24/1,BULL AIR  COMPRESSOR 24 LTR OIL FREE,1
3707,BGAC24L,BULL AIR  COMPRESSOR 24 LTR,2
3708,BGAC24L,BULL AIR  COMPRESSOR 24 LTR,7
3709,BGAC50L,BULL AIR COMPRESSOR BULL 50L ,3
3710,BGAC50L/1,BULL AIR COMPRESSOR BULL 50L  OIL FREE,2
3711,BGAG100/1,BULL GOLD  ANGLE GRINDER 1250W,9
3712,BGAG100GB,BGAG100 GRINDER GEAR BOX ,10
3713,BGAG100GS,BGAG100 GRINDER GEAR BOX ,20
3714,BGAG100LS,BGAG100 LOCK SET,6
3715,BGAG100LS,BGAG100 LOCK SET,6
3716,BGAG125,BULL GOLD AG-125 ANGLE GRINDER 1200W,1
3717,BGAG125,BULL GOLD AG-125 ANGLE GRINDER 1200W,6
3718,BGAG125BS,BEARING SLEEVE FOR GRINDER 54 INCH  607,18
3719,BGAG125BW,BEARING WASHER  FOR GRINDER 5 INCH ,6
3720,BGAG125C,BULL CARBON BRUSH AG125,2
3721,BGAG125GB,BULL GOLD  AG-125 GEAR BOX ,2
3722,BGAG125GS,BULL GOLD AG-125 GEAR SET,9
3723,BGAG125LS,BULL GOLD AG-125 LOCK SET ,12
3724,BGAG2100/1,BULL GOLD ANGLE GRINDER 1100W,48
3725,BGAG2100/1,BULL GOLD ANGLE GRINDER 1100W,13
3726,BGAG230,ANGLE GRINDER 9INCH 3200W BGAG230,1
3727,BGAG3100,BULL GOLD AG3-100 V/S,-2.000
3728,BGAGS6103,BULL GRINDER STAND ,3
3729,BGAGS6103,BULL GRINDER STAND ,10
3730,BGC14V/1,BULL GOLD CORDLESS DRILL 14V,-5.000
3731,BGC35/1,BULL GOLD CUT OFF MACHINE 355 ,1
3732,BGC355,BULL GOLD CUT OFF MACHINE 355 ,1
3733,BGCD14V,BULL GOLD CORDLESS DRILL 14V,3
3734,BGCS52/1,BULL  CHAINSAW  GCS52CC,11
3735,BGCS52/1,BULL  CHAINSAW  GCS52CC,3
3736,BGCS58CC,BULL  CHAINSAW  GCS58CC,8
3737,BGDH0835,BULL  DEMOLITION HAMMER 5KG 1400W,-1.000
3738,BGDH0835,BULL  DEMOLITION HAMMER 5KG 1400W,1
3739,BGDH0835,BULL  DEMOLITION HAMMER 5KG 1400W,1
3740,BGDH0835/1,BULL  DEMOLITION HAMMER 5KG 1400W,7
3741,BGDH0835AT,BULL GOLD ALUMINIUM TUBE  BGDH0835,2
3742,BGDH0835G,BULL GEAR BGDH08355,1
3743,BGDH0835O,SPARE O RING 0835 BULL 5KG..(EVEREST),86
3744,BGDH0835O,SPARE O RING 0835 BULL 5KG..(EVEREST),76
3745,BGDH0835P,PISTON BDH0835 BULL 5KG ,14
3746,BGDH0835TH,BULL GOLD TOOL HOLDER DH0835,8
3747,BGDH11H,BULL GOLD 11E BGDH11H,7
3748,BGDU10,BULL CARBON DU10,-26.000
3749,BGDU10,BULL CARBON DU10,-26.000
3750,BGED10,"BULL SCREW DRILL 10MM , 520W   BGED10",2
3751,BGED10/1,BULL GOLS ED10,9
3752,BGED6,BULL GOLD 6MM ELECTRIC DRILL,1
3753,BGED6H/1,BULL GOLD 6MM ELECTRIC DRILL,6
3754,BGH28/1,28MM GEAR HEAD RED,-4.000
3755,BGID13A/1,BULL GOLD  ID 13 IMPACT DRILL 800W,8
3756,BGID13H,BULL GOLD  ID 13 IMPACT DRILL980W,6
3757,BGJS65,BULL CARBON  JS65H,6
3758,BGLE55D,BULL LEAD VIBRATOR WITH NEEDLE LE-55D,2
3759,BGLG355,BULL CARBON LG355,8
3760,BGMC125/1,BULL GOLD MARBLE CUTTER 5 INCH MC125,6
3761,BGMC125/45,BULL  MARBLE CUTTER 5 INCH 45 DEGREE  MC125 1500W,4
3762,BGMC125/45,BULL  MARBLE CUTTER 5 INCH 45 DEGREE  MC125 1500W,2
3763,BGMC125/45,BULL  MARBLE CUTTER 5 INCH 45 DEGREE  MC125 1500W,1
3764,BGMC2,BULL GOLD MC2 -110H    MARBLE CUTTER 1150W,4
3765,BGMC2,BULL GOLD MC2 -110H    MARBLE CUTTER 1150W,-2.000
3766,BGMC2/1,BULL GOLD MC2 -110H    MARBLE CUTTER 1150W,12
3767,BGPC43CCIC,BRUSH CUTTER IGNITION COIL43CC,1
3768,BGPH65,BULL CARBON PH65,-3.000
3769,BGPH65A,BULL GOLD DEMOLISHION HAMMER 16KG PH65A,2
3770,BGPH65A/G,BULL GOLD DEMOLISHION HAMMER 16KG PH65A,1
3771,BGPH65H,BULL GOLD PH-65H DEMOLITION HAMMER,3
3772,BGPH65H/1,BULL GOLD PH-65H DEMOLITION HAMMER,2
3773,BGPH65H/G,BULL GOLD PH-65H DEMOLITION HAMMER,7
3774,BGPM12,BULL GOLD PUTTYMIXER PM12,6
3775,BGPT,BUTANE GAS SANPRA PREMIUM,11
3776,BGRH20/1,BULL GOLD RH-20 ROTARY HAMMER,14
3777,BGRH22/1,BULL GOLD RH-22 ROTARY HAMMER ,9
3778,BGRH226,BULL GOLD RH2-26(3 MODE) ROTARY HAMMER,3
3779,BGRH326,BULL GOLD ROTARY HAMMER DRILL RH3-26,4
3780,BGRH326/1,BULL GOLD ROTARY HAMMER DRILL RH3-26+,7
3781,BGS18,CHAIN BULL SUPER PVC BOX ,30
3782,BGW500N,MASTER GOLD CORDLESS WRENCH  21V 500N,1
3783,BH12,HAND RIVERTER COMMANDER 9.5 INCH BH12,35
3784,BH17X280F,SDS FLAT CHISEL 17X280F BULL ,1
3785,BH17X280P,SDS POINT BIT 17X280P BULL,43
3786,BH18*400F,BULL GOLD CHISEL BIT 11E ,10
3787,BH18*400P,BULL GOLD CHISEL 11E POINT ,102
3788,BH19M,HINGES BIT 19MM,3
3789,BH25,BILL HOOK -25,1
3790,BH27,BILL HOOK -27,5
3791,BH30*410,SDS 30*410 POINT/FLAT 16KG BIT ,21
3792,BH309,BILL HOOK -309 (KATHAL ),1
3793,BH32M,HINGES BIT 32M,1
3794,BH35,BILL HOOK -35,2
3795,BH36,BILL HOOK -36,1
3796,BH37,BILL HOOK -37,3
3797,BH5,BILL HOOK -05,2
3798,BH5,BILL HOOK -05,-2.000
3799,BH50,BILL HOOK -50,5
3800,BH50L,ACE FLOOR SWEEPER 50 L  BH50L,1
3801,BH56,BILL HOOK -56,1
3802,BH56,BILL HOOK -56,-3.000
3803,BH57, BILL HOOK -57,3
3804,BH57, BILL HOOK -57,-1.000
3805,BH57, BILL HOOK -57,-3.000
3806,BH6,BILL HOOK -.06,2
3807,BH60, BILL HOOK  -60,4
3808,BH63, BILL HOOK  63,2
3809,BH64, BILL HOOK  64,-5.000
3810,BH7,BILL HOOK -07,-3.000
3811,BH7,BILL HOOK -07,-1.000
3812,BH7,BILL HOOK -07,-1.000
3813,BH70, BILL HOOK  70,4
3814,BH75, BILL HOOK  75,4
3815,BH95,BILL HOOK 95,5
3816,BH95,BILL HOOK 95,1
3817,BH96, BILL HOOK  -96,-1.000
3818,BH97, BILL HOOK  97,1
3819,BH97, BILL HOOK  97,3
3820,BH98, BILL HOOK  98,1
3821,BH99, BILL HOOK  99,-3.000
3822,BHC/G5,BRUSH HOLDER CAP ASM02-125B GRINDER ,50
3823,BHC2414,"BRUSH HOLDER CAP7-18FOR 2414NB, 643700-5",2
3824,BHG10SS,K-YURI-SPARES-G10SS BEARING HOUSING,-116.000
3825,BHS,BULL HANDSAW ,156
3826,BHSO,B HOOK SCREW DRIVER ,3
3827,BIO+,BIOMAX BLOCK REMOVER,5
3828,BIO+,BIOMAX BLOCK REMOVER,-8.000
3829,BIOMAX ,BIOMAX ,1
3830,BIOWT,BIO WASTE TREATMENT PVC  SETTLEMENT TANK ,3
3831,BIT,BITS FOR POWERTOOL S,284
3832,BK,BUDDING KNIFE,26
3833,BKP,BUDDING KNIFE PALA,2
3834,BKS,BUDDING KNIFE SPECIAL ,66
3835,BKUTTY,BATHROOM KUTTY GI ,2.905
3836,BL1/2,L BOW ,8
3837,BL300K,BIKE LOCK 300  COMBINATION NO SIZE,1
3838,BL5,BACK LIFT LADDER 5',1
3839,BL5,BACK LIFT LADDER 5',-1.000
3840,BL5,BACK LIFT LADDER 5',2
3841,BLANK,BLANK,1
3842,BLSBD,BIT LOCK SET BENCH DRILL,1
3843,BM1860,BM60 CONTROLLER,2
3844,BM24/50 VF,COMPRESSOR VALVE FLESK 50 L 26B,12
3845,BM24LV,COMPRESSOR VALVE PACK  BM24L-26-2,9
3846,BM24LVP,COMPRESSOR VALVE PLATE BM2426.1 ,18
3847,BM50AFT,COMPRESSOR AIR FILTER BIG THREAD BM50L-30,5
3848,BM60GB,BM60 GEAR BOX ,6
3849,BM60LED,BM60 LED,1
3850,BM60S,BM60 SWITCH,2
3851,BM60S,BM60 SWITCH,2
3852,BMC2LB,MC2 -110H LEVER BOLT,19
3853,BMGAC24,BULL AIRCOMPRESSOR OIL FREE 24 LTR ,3
3854,BMGAC50,BULL AIRCOMPRESSOR OIL FREE 501 LTR ,3
3855,BML4*4,BULL MULTI LADDER 4*4,1
3856,BMT1/2,T CONNECTER ,5
3857,BMT1/4,T CONNECTOR,5
3858,BMT410AW,AB WASHER MT410 BULL,12
3859,BMT410C,CARBON BRUSH MT410 CALTEX,97
3860,BMT410C,CARBON BRUSH MT410 CALTEX,97
3861,BN1900,BELT NORMAL 1900,13
3862,BNB,BAG NEEDLES BIG (KOTTA SOOCHI ),49
3863,BNS,BAG NEEDLE (KOTTA SOOCHI ) SMALL ,48
3864,BOARD,EXTENTION  BOARD  ,-9.000
3865,BODH0835,ORING DH0835 BULL,5
3866,BOOKB,NOTE BOOK BIG ,10
3867,BOOKK,BOOK KING SIZE,7
3868,BOOKS,BOOK SMALL,7
3869,BOOT,"GUMBOOT 6 ,8,10",10
3870,BOOT10,PVC GUMBOOT BORRIS BULL 10'',-4.000
3871,BOOT10,PVC GUMBOOT BORRIS BULL 10'',-2.000
3872,BOOT10/1,PVC GUM BOOT BORRIS 15/10'',-3.000
3873,BOOT10/15W,WALT PVC GUM BOOT 10 INCH BLACK ,-1.000
3874,BOOT10/WH,WALT PVC BOOT 10 INCHSAFDOT ,8
3875,BOOT10/WH,WALT PVC BOOT 10 INCHSAFDOT ,4
3876,BOOT10/WM,WALT PVC GUMBOOT 10 INCH MARCUS ,29
3877,BOOT7,BOOT 7 INCH BULL BORRIS,-1.000
3878,BOOT7/W,WALT PVC GUM BOOT 7 INCH HARSH ,1
3879,BOOT8/15W,WALT PVC GUM BOOT SAFEDOT BLACK 15/8 INCH ,27
3880,BOOT8/WC,WALT PVC GUM BOOT 8INCH COMFORT ,17
3881,BOOT8/WM,WALT PVC GUMBOOT SAFEDOT MARCUS 8 INCH /15,21
3882,BOOT8/WMS,WALT PVC GUMBOOT MARCUS WITH STEEL 8 INCH ,1
3883,BOOT9,PVC GUM BOOT BORRIS 9'' BULL,-4.000
3884,BOOT9/1,PVC BOOT BORRIS 15/9'',3
3885,BOOT9/15W,WALT PVC GUM BOOT 9INCH SAFDOT BLACK ,17
3886,BOOT9/WC,WALT PVC BOOT 9 INCH COMFORT ,6
3887,BOOT9/WM,WALT PVC GUMBOOT MARCUS 9 INCH ,25
3888,BOOT9/WMS,WALT PVC GUMBOOT MARCUS WITH STEEL 9 INCH ,1
3889,BORINGIBL ,IBELL BIG ORING ,28
3890,BOS0835,FRAME OIL SEAL DH0835 ,16
3891,BOS125P,BULL SANDER PAD OS-125 PAD ,2
3892,BOX1+1,INDUSTRIAL SWITCH BOX 16A. 1+1,28
3893,BOX1+1,INDUSTRIAL SWITCH BOX 16A. 1+1,-26.000
3894,BOX1+1&1+2,INDUSTRIAL SWITCH BOX COMBO 1+1&1+2,77
3895,BOX1+1&1+2,INDUSTRIAL SWITCH BOX COMBO 1+1&1+2,74
3896,BOX1+2,INDUSTRIAL SWITCH BOX 10 A1+2,45
3897,BOX1+2,INDUSTRIAL SWITCH BOX 10 A1+2,-3.000
3898,BOX1+2/16,BOX RED 1+2 16 AMP ,316
3899,BOX1+5,INDUSTRIAL SWITCH BOX 10A 1+5,361
3900,BOX1+5,INDUSTRIAL SWITCH BOX 10A 1+5,25
3901,BOX2+2,INDUSTRIAL SWITCH BOX 16A 2+2,252
3902,BP10*4,BOX PVC 10*4 CON,5
3903,BP509,BASE PLATE 1619P13509,1
3904,BP5PCS ,"BULL POWER TOOLS 5 PCS DRILL ,GRINDER,BLOWER ,HEATGUN ,TILE CUTTER ",32.75
3905,BP8*6,BOX PVC 8*6 CON,-1.000
3906,BP8LSS,ALCO BIG PLAT FORM LADDER 8 ' A TYPE ,2
3907,BP90MM,BELT PVC 90MM PLANNER ,15
3908,BPA05,ACE FLOOR POLISHER PADS BPA05,1
3909,BPAD17,BUFFER PAD 17 INCH RED SURIE ,2
3910,BPAD17W,BUFFER PAD 17 INCH WHITE SURIE ,2
3911,BPAG801/1,BULL PRO ANGLE GRINDER 950W 4 INCH ,30
3912,BPB102,BLOCK PLANE BULLET 102,1
3913,BPCM4SA,CM4SA BASE PLATE ,82
3914,BPCM4SA,CM4SA BASE PLATE ,2
3915,BPDH0810/1,BULL GOLD DEMOLITION HAMMER 0810 5KGV 1300W,8
3916,BPDH0835,BULL  DEMOLITION HAMMER 7KG 1550W,-1.000
3917,BPDH0835/1,BULL PRO DEMOLITION HAMMER DH835,13
3918,BPH65C,CARBON BRUSH PH65C BULL,58
3919,BPH65C,CARBON BRUSH PH65C BULL,38
3920,BPH65M,PH65 MOUTH  BULL ,2
3921,BPH65M,PH65 MOUTH  BULL ,2
3922,BPH65O,PH-65 ORING,1
3923,BPIPE,BLOWER PIPE RUBBER,1
3924,BPIPE/6B,BEND PIPE GBP /6/B GROZ,11
3925,BPIPE/E,RUBBER PIPE BLOWER  EBC40,18
3926,BPM82A,BULL CARBON PM82A,95
3927,BPM82A,BULL CARBON PM82A,10
3928,BPN100,EM HAMMER BALL PEIN 100 GM ,1
3929,BPN100,EM HAMMER BALL PEIN 100 GM ,-1.000
3930,BPOLA,BATHROOM POLA GI  KG RATE,19.17
3931,BPOLA,BATHROOM POLA GI  KG RATE,-7.680
3932,BPS8M,POWER CABLE ,1
3933,BPSFT8,BULL PRUNING SAW 8 INCH FOLDING TYPE ,34
3934,BPSG,POWER CABLE,1
3935,BPSSM,BOARD,-2.000
3936,BPSWH10,PRUNING SAW 10 INCH WOODEN HANDLE ,39
3937,BR02,TYRE PRESSURE GUAGE ,3
3938,BR1900,BELT RUBBER 1900 PLANNER ,15
3939,BR200,BLOCK REMOVER ,-5.000
3940,BR3/4,BLIND RIVET 3/16*3/4 ,58
3941,BR5,"JP56 ARMATURE BERAING PULLER 5""",1
3942,BR850,TYRE PRESSURE GUAGE KIT,1
3943,BR90MM,BELT RUBBER 90MM PLANNER ,14
3944,BRB4,BULL RAINBOW BLADE VERTIFIDE ,83
3945,BRB8,"BRACKET WITH BEARING 8""",12
3946,BRC5,VELCRO PAD 5 INCH ,1
3947,BRDH11E,CIRCLIP RING DH11H,5
3948,BRF,G10SS2 BEARNG FLANGE ,3
3949,BRH20O,RH20 ORING SET ,2
3950,BRH20OG,BULL RH20-ORING ,37
3951,BRH20OG,BULL RH20-ORING ,37
3952,BRH2-20,BULL CARBON BRUSH RH2-20,101
3953,BRH220S,SWITCH 2-20,154
3954,BRH226,BULL CARBON BRUSH 2-26,44
3955,BRH2-26OS,BULL GOLD OIL SEAL 41*30*7 RH2-26,3
3956,BRH2-26OS,BULL GOLD OIL SEAL 41*30*7 RH2-26,3
3957,BRH28,BUTTOM FOR HAMMER DRILL MALRH28,3
3958,BRNC,ROTOR NOZZLE CERAMIC,4
3959,BRUSH ,BATHROOM BRUSH ,-3.000
3960,BRUSH ,BATHROOM BRUSH ,-2.000
3961,BRUSH DOUBLE HOCKEY ,BRUSH DOUBLE HOCKEY ,12
3962,BRUSH T,BRUSH TOILET CLEANING ,11
3963,BS08,IBELL CHAIN BS08  IBLBS2008,22
3964,BS08B,BS08 GUID BAR ,5
3965,BS220,ROTARY HAMMER RH2-20 500W BS220,21
3966,BS226,ROTARY HAMMER RH2-26  BS226,3
3967,BS226,ROTARY HAMMER RH2-26  BS226,3
3968,BS451,FIBER DISK SANDING KIT BS451  12PCS,1
3969,BS800,METSO DRILL BIT SHARPNER BS800,17
3970,BS810,METSO DRILL BIT SHARPNER BS810,5
3971,BSA,BED SWITCH ANCHOR,12
3972,BSB,BACK STOP BRACKET ,2
3973,BSCP10,WIRE PULLER 10 MTR BULL ,93
3974,BSCP15,WIRE PULLER 15 MTRBULL ,89
3975,BSCP20,CABLE PULLER 20MTR3.2 BULL,28
3976,BSCP20,CABLE PULLER 20MTR3.2 BULL,133
3977,BSCP25,WIRE PULLER 25 MTR BULL ,41
3978,BSCP30,WIRE PULLER 30 MTR BULL,18
3979,BSD21VB,BATTERY FOR PORTABLE DRILL MACHINE 21V,2
3980,BSD21VS,SWITCH FOR PORTABLE DRILL MACHJINE ,4
3981,BSH12,BSH 12 SOCKET ,1
3982,BSHEET,BLACK SHEET,443.435
3983,BSHEET,BLACK SHEET,276.72
3984,BSHEET,BLACK SHEET,-276.570
3985,BSHEET,BLACK SHEET,0.01
3986,BSHEET,BLACK SHEET,1.91
3987,BSHEET,BLACK SHEET,-14.200
3988,BSHEET,BLACK SHEET,0
3989,BSHEET,BLACK SHEET,-2.250
3990,BSHEET,BLACK SHEET,-8.725
3991,BSM330,SPIRIT LEVEL RED 30 CM BSM330,80
3992,BSRH28,BUTTOM SLIDER FOR HAMMER DRILL MALRH28,3
3993,BSSRH28,BUTTOM SLIDER SPRING FOR MALRH28,3
3994,BT1/2,BLUE TACKS 1/2'',-0.100
3995,BT1000CHPW,BITALI PRESSURE WASHER 2000W  BT1000CHPW,1
3996,BT1000CHPW,BITALI PRESSURE WASHER 2000W  BT1000CHPW,-1.000
3997,BT1000HPW,BTALI PRESSURE WASHER  1600W BT1000HPW,9
3998,BT1000SK,SEAL KIT BT1000 HPW ,4
3999,BT1000SK,SEAL KIT BT1000 HPW ,3
4000,BT1000VK,VALVE KIT BT1000,3
4001,BT1060HPW ,BITALI PRESSURE WASHER BT1060 2000W/170 BAR,1
4002,BT1400CV,CHECKING VALVE  BT1400 HPW  BT14003,5
4003,BT1400HPW,BTALI HIGH PRESSURE WASHER 2400W/250BAR,1
4004,BT1400V,BT1400 HPW CHECKING VALVE BT14003,1
4005,BT16,CHAIN 16 INCH  TIGER,88
4006,BT16,CHAIN 16 INCH  TIGER,5
4007,BT16,CHAIN 16 INCH  TIGER,5
4008,Bt2,Angle Grinder Gws900-125,1
4009,BT56,BULLWARK STAINLESS STEEL TWEEZER 6PCS SE,1
4010,Bt6,Router Pof 1400 Ace,1
4011,BTAG04,BTALI ANGLE GRINDER BTAG04 1200 PRO ,10
4012,BTAG04/1350,BTALI ANGLE GRINDER BTAG04-1350,4
4013,BTAG4,"GLOBAL CORDLESS ANGLE GRINDER 4 INCH GPGBTAG4, 21V",3
4014,BTAG4,"GLOBAL CORDLESS ANGLE GRINDER 4 INCH GPGBTAG4, 21V",3
4015,BTCB127*450,CORE BIT 127MM*450 BIT WORLD ,4
4016,BTCB16,SLAB CUTTING BLADE 16 INCH SEG BIT WORLD ,4
4017,BTCB203*450,CORE BIT 203MM*450 BIT WORLD ,4
4018,BTCH,BRUSH CUTTER TRIMMER HEAD ,2
4019,BTCT8*40, BULL GOLD TCT 8*40,2
4020,BTCT8*60,BULL GOLD TCT 8*60,11
4021,BTDH7,BTALI DEMOLITION HAMMER BT DH7PRO 1200,1
4022,BTG150,GREESE TUBE 150 GRM BULL,1
4023,BTIW41,GLOBAL IMPACT WRENCH 430 ,7
4024,BTIW6,GLOBAL IMPACT WRENCH 600 N GPG-BTIW6,4
4025,BTMACCVSS,COMMON VALVE SHEET BTMACCVS,4
4026,BTMACG,COMMON GASKET 24/50 LTR BTMACG,6
4027,BTMACG,COMMON GASKET 24/50 LTR BTMACG,2
4028,BTMACR,RING COMMON 24/50LTR BTMACR,3
4029,BTMAS,COMMON VALVE SHEET BTMACCVS,6
4030,BTORCH,BRAZING TORCH ASI,1
4031,BTORCH/1,BRAZING TORCH WELDCRAFT MONKEY,2
4032,BTP43,GLOBAL CORDLESS  PRUNER 25 MM  BTP43,2
4033,BTRH20650,BTALI ROTARY HAMMER BTRH20-650,6
4034,BTRH26800,BTALI ROTARY HAMMER DRILL BTRH26800,5
4035,BTRH7,GLOBAL ROTARY HAMMER DRILL BTRH7,5
4036,BTRM4.5,SEGMENT BLADE 4.5MM GENIUS ,64
4037,BTRMB,powerbilt CERAMIC BLADE 4 INCH BITWORLD ,35
4038,BTS100,ACE TUQO HOLESAW MASONARY BTS100,2
4039,BTS125,ACE TUQO HOLESAW MASONARY BTS125,2
4040,BTS30,ACE TUQO HOLESAW MASONARY BTS30,9
4041,BTS35,ACE TUQO HOLESAW MASONARY BTS35,9
4042,BTS50,ACE TUQO HOLESAW MASONARY BTS50,9
4043,BTS55,ACE TUQO HOLESAW MASONARY BTS55,9
4044,BTS60,ACE TUQO HOLESAW MASONARY BTS60,6
4045,BTS65,ACE TUQO HOLESAW MASONARY BTS65,5
4046,BTS70,ACE TUQO HOLESAW MASONARY BTS70,9
4047,BTS75,ACE TUQO HOLESAW MASONARY BTS75,9
4048,BTW,BARICADE TAPE WHITE ,16
4049,BTY,BARICADE TAPE YELLOW ,1
4050,BUBBLE,BUBBLE``,12
4051,BULL BLOWER,BULL BLOWER,-7.000
4052,BULL BLOWER,BULL BLOWER,14
4053,BULL HEAT GUN ,BULL HEAT GUN ,-4.000
4054,BUSH 30MM,BUSH30MM,109
4055,BUSH1,BUSH ,299
4056,BUSH1,BUSH ,-1.000
4057,BUSH1.5,BUSH1.5,-76.000
4058,BUSH20MM,BUSH ,2
4059,BUSH25MM,BUSH 25MM,1
4060,BUSHBL,BUSH BACKLIFT LADDER RT 18%,-31.000
4061,BUSHBL,BUSH BACKLIFT LADDER RT 18%,-14.000
4062,BUSHDSL,BUSH DOUBLE SIDE LADDER ,72
4063,BUSHSL,BUSH STRIGHT LADDER RT 18%,-62.000
4064,BUSHSL,BUSH STRIGHT LADDER RT 18%,-6.000
4065,BUSHST,SUPER STRONG BUSH RT,14
4066,BUSHST,SUPER STRONG BUSH RT,30
4067,BUSINESS PREMOTION EXP ,BUSINESS PREMOTION EXP ,102
4068,BV2,BENCH VICE 2,-1.000
4069,BVRN1,VIBRATOR  NEEDLE 1MTR BULL,5
4070,BVRN1.5,VIBREATET NEEDLE 1.5 MTR BULL,2
4071,BW6202,CARBON HOLDER EBC40 OMR ,10
4072,BW6203,HOLDER SPRING EBC40 OMR ,10
4073,BW6207,FAN BODY EBC40 OMR ,2
4074,BW6209,MOTOR BODY EBC40 OMR ,2
4075,BWBP,WELDING TORCH ,1
4076,BWC114,BROWN SEGMENTED WALL CHASER 114MM,18
4077,BWN,BRASS WELDING NOZZLE,5
4078,BWW,BATHROOM & WINDOW WIPER ,1
4079,C0,KARANDI ,22
4080,C0,KARANDI ,35
4081,C0,KARANDI ,-1.000
4082,C05,LANCE CONNECTER BRASS CARWASHER ,24
4083,C1,KARANDI,12
4084,C1,KARANDI,5
4085,C10FCE2,HIKOKI METER SAW  C10FCE2,1
4086,C110*30T ,K2 CORE CUT WOOD CUTTING 110*30T ,10
4087,C110*40T,K2 CORE CUT WOOD CUTTING 110*40T,-1.000
4088,C12,LANCE CONNECTOR C 12,2
4089,C125,PATTA DRY WALL3/4(19*6),26160
4090,C125,PATTA DRY WALL3/4(19*6),26160
4091,C125,PATTA DRY WALL3/4(19*6),-1452.000
4092,C150,ORING HOSE 21*2 MM,82.5
4093,C1773,SOCKET 1773(UNIVERSAL JOINT ),1
4094,C2.,KARANDI,3
4095,C2.,KARANDI,1
4096,C3,KARANDI,7
4097,C3,KARANDI,8
4098,C362,13MM CHUCK KEY CALTEX,15
4099,C362,13MM CHUCK KEY CALTEX,-15.000
4100,C4,KARANDI,-1.000
