YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
111,10072.,TOLSEN PIPE WRENCH 24 INCH ,4
112,10072.,TOLSEN PIPE WRENCH 24 INCH ,1
113,1008.,MSEAL 40GM,147
114,1008.,MSEAL 40GM,-1.000
115,1008.,MSEAL 40GM,-6.000
116,1008/B,M SEAL 40G BULL ,36
117,1008/B,M SEAL 40G BULL ,36
118,1009,Mseal Sanitary White 50gm,-2.000
119,101.,FREEMANS 30 MTR TAPE ,10
120,1010., SR 100ML,6
121,1010., SR 100ML,6
122,10107.,TOLSEN BENCH VICE MINI 50MM 2 INCH 10107,2
123,1011.,SR 200ML,6
124,1011.,SR 200ML,42
125,1011.,SR 200ML,7
126,1011.,SR 200ML,7
127,1011.,SR 200ML,-6.000
128,1011/1KG,FEVICOL SR 998(1 LTR),10
129,10112.,TOLSEN G CLAMP 3 INCH ,36
130,10113.,TOLSEN G CLAMP C 4 INCH 10113,13
131,10113.,TOLSEN G CLAMP C 4 INCH 10113,1
132,10114., TOLSEN G CLAMP C 6 INCH,8
133,10115,TOLSEN G CLAMP  C CLAMP 8 INCH ,10
134,1011A,SR 500ML,14
135,1011A,SR 500ML,-1.000
136,1011A,SR 500ML,-1.000
137,1011A,SR 500ML,-6.000
138,1012.,SPEED MC BLADE SPEED 5 INCH ,136
139,1012.,SPEED MC BLADE SPEED 5 INCH ,-20.000
140,1012/4,SPEED  BLADE SPEED 4 INCH ,39
141,1012/4,SPEED  BLADE SPEED 4 INCH ,26
142,10123 .,10123 TOLSEN  F CLAMP 50*150,1
143,10123 .,10123 TOLSEN  F CLAMP 50*150,2
144,10125 .,10125 TOLSEN  F CLAMP 50*250,-3.000
145,1014.,GLASS CUTTER BULLET 4'',40
146,10151,10151 F CLAMP  120*300,1
147,10153,10153 F CLAMP 120*500,-1.000
148,102.,SCREW BIT DOUBLE SIDE STAR BUL,-5.000
149,1021.,NUT RUNNER 10X65,-3.000
150,1021/12,ADAPTER 12MM EVEREST ,4
151,1021/6,NUT RUNNER 6X65MM,2
152,1021/8,NUT RUNNER 8X50MM E-ULTRAFAST,615
153,1021/8,NUT RUNNER 8X50MM E-ULTRAFAST,25
154,1021/8,NUT RUNNER 8X50MM E-ULTRAFAST,-1.000
155,1021/8H,HYPER MAGNETIC NUT DRIVER BIT 8*45MM ,418
156,1022,Claw Hammer Nagori 1LB,1
157,1023,Claw Hammer GI(PH),-1.000
158,10231.,TOLSEN PIPE WRENCH  8 INCH 10231,18
159,10234,TOLSEN PIPE WRENCH 14 INCH ,9
160,1024,Claw Hammer Nagori3/4LB,-1.000
161,10244.,TOLSEN BRC CUTTER 24 INCH 10244,3
162,10244B,TOLSEN SPARE BLADE BRC CUTTER 24 INCH 10244B,1
163,10247.,10247 TOLSEN BOLT CUTTER 42',2
164,10247B,TOLSEN SPARE BLADE 10247B,1
165,1025,Claw Hammer Nagori 1Lg,19
166,1028/1,HAMMER,-16.000
167,10280,TOLSEN LONG NOSE PLIER 8 INCH ,2
168,103.,SCREW BIT STAR&MINUS ,8
169,1030/1,CHISEL 12 INCH   TIGER ,-2.000
170,1030/1,CHISEL 12 INCH   TIGER ,-1.000
171,1030/1,CHISEL 12 INCH   TIGER ,-1.000
172,1033,Mason Trowel Square,1
173,10345,10345 TOLSEN END CUTTING PLIER 8INCH ,-1.000
174,104.,PUTTY BLADE 2',652
175,1043/1,SAFTY BELT  MUMBAI,7
176,1043B,SAFETY BELT GREEN BULL ,3
177,1047,Cable Tye 100mm,279
178,105.,Putty Blade 3 Inch,204
179,1050,BOLT 11/4*3/4,34
180,1052/1,NUT SS 1/4 JOM,2
181,1053,Nut Ss 1/4,3
182,1055,Screw Cycle 1/8*3/4,30
183,1056.,Screw Cycle 1/8*1,-9.000
184,106.,Putty Blade 4 Inch,344
185,106.,Putty Blade 4 Inch,-34.000
186,1063,Welding Helmet Sunshine,1
187,1065.,TCT BLADE 5X40 JK,75
188,1068.,Hammer 2.5dfs,-1.000
189,107.,PUTTY BLADE 6 INCH ,117
190,107.,PUTTY BLADE 6 INCH ,95
191,1077,Hammer Rubber,-1.000
192,1078/S,SWITCH  40A,232
193,1078/S,SWITCH  40A,42
194,1079,SWITCH 30A,150
195,1079,SWITCH 30A,2
196,10804., BENCH VISE H/D 4INCH  10804,2
197,10806.,TOLSEN BENCH VISE 6,2
198,10808,TOLSEN BENCH VISE 8 INCH 10808,2
199,1083.,FAN DC 24V 38MM,10
200,1085.,FAN AC 220V 38MM,1
201,1085.,FAN AC 220V 38MM,14
202,1088,"Combination Plier 8""",1
203,10AK,ALLENKEY 10MM,7
204,10LB,SLEDGE HAMMER  10LB,-1.000
205,10LB/1,SLEDGE HAMMER 10,4
206,10LB/1,SLEDGE HAMMER 10,1
207,10mm Nut.,Nut Ms 3/8,7.48
208,10S3S,SHOVEL SPADE 3 AS ,1
209,10X100AC,TC BLADE 10X100 BULLET,1
210,11/2FV,FOOT VALVE 11/2',1
211,11/2FV,FOOT VALVE 11/2',2
212,11/4FV,1 1/4 SUB BEND FOOT VALVE ,1
213,1107,30MM CAPASITER ,5
214,111,HACKSAW BLADE 12*1/2WOOD MASTER,-100.000
215,1115.,FAN,8
216,1115.,FAN,20
217,1118.,25MM CAPASITOR ,8
218,116/1,LEVEL HOSE 6MM (30MTR),444
219,116/1,LEVEL HOSE 6MM (30MTR),943.5
220,116/8,LEVEL HOSE 8MM ,986.5
221,116/8,LEVEL HOSE 8MM ,986.5
222,116/8,LEVEL HOSE 8MM ,-65.000
223,117,SPIRIT LEVEL BLUE 12'' FREEMANS,-15.000
224,117/1,"SPIRIT LEVEL 12"" FREEMANS RED",-28.000
225,117/1,"SPIRIT LEVEL 12"" FREEMANS RED",-1.000
226,117/1,"SPIRIT LEVEL 12"" FREEMANS RED",32
227,117/1,"SPIRIT LEVEL 12"" FREEMANS RED",32
228,117/B,FREEMANS SPIRIT LEVEL BLUE ,7
229,117/Y,FREEMANS SPIRIT LEVEL YELLOW 1 FEET ,7
230,11E864,11E NEEDLE BEARING ,-9.000
231,11E864,11E NEEDLE BEARING ,-9.000
